Date,USD Exchange Rate
2017/09/05,57.7817
2017/09/06,57.8503
2017/09/07,57.3387
2017/09/08,57.1411
2017/09/09,56.9966
2017/09/12,57.1694
2017/09/13,57.2656
2017/09/14,57.6679
2017/09/15,57.7706
2017/09/16,57.5336
2017/09/19,57.6242
2017/09/20,58.0993
2017/09/21,58.129
2017/09/22,58.2242
2017/09/23,57.6527
2017/09/26,57.566
2017/09/27,57.5186
2017/09/28,58.0102
2017/09/29,58.4255
2017/09/30,58.0169
2017/10/03,57.8134
2017/10/04,57.9375
2017/10/05,57.7832
2017/10/06,57.5811
2017/10/07,57.7612
2017/10/10,58.3151
2017/10/11,58.0713
2017/10/12,57.921
2017/10/13,57.6869
2017/10/14,57.6196
2017/10/17,57.0861
2017/10/18,57.3392
2017/10/19,57.2721
2017/10/20,57.5706
2017/10/21,57.5118
2017/10/24,57.4706
2017/10/25,57.5852
2017/10/26,57.614
2017/10/27,57.7643
2017/10/28,58.0833
2017/10/31,57.8716
2017/11/01,58.1179
2017/11/02,58.1557
2017/11/03,58.0869
2017/11/04,58.4296
2017/11/08,58.4557
2017/11/09,59.248
2017/11/10,59.2527
2017/11/11,59.2808
2017/11/14,59.1823
2017/11/15,59.6207
2017/11/16,60.249
2017/11/17,59.9898
2017/11/18,59.6325
2017/11/21,59.2746
2017/11/22,59.4604
2017/11/23,59.0061
2017/11/24,58.4622
2017/11/25,58.5318
2017/11/28,58.2773
2017/11/29,58.4125
2017/11/30,58.3311
2017/12/01,58.5814
2017/12/02,58.5182
2017/12/05,58.9911
2017/12/06,58.6924
2017/12/07,58.9281
2017/12/08,59.2948
2017/12/09,59.2811
2017/12/12,59.2348
2017/12/13,58.837
2017/12/14,59.1446
2017/12/15,58.7082
2017/12/16,58.8987
2017/12/19,58.694
2017/12/20,58.6117
2017/12/21,58.717
2017/12/22,58.5596
2017/12/23,58.3152
2017/12/26,58.1989
2017/12/27,57.7343
2017/12/28,57.4544
2017/12/29,57.6291
2017/12/30,57.6002
2018/01/10,57.0463
2018/01/11,56.8734
2018/01/12,56.9957
2018/01/13,56.6019
2018/01/16,56.3569
2018/01/17,56.3878
2018/01/18,56.5925
2018/01/19,56.7597
2018/01/20,56.5892
2018/01/23,56.6261
2018/01/24,56.4115
2018/01/25,56.3888
2018/01/26,55.9288
2018/01/27,55.8288
2018/01/30,56.2908
2018/01/31,56.2914
2018/02/01,56.184
2018/02/02,56.2613
2018/02/03,56.0408
2018/02/06,56.6278
2018/02/07,57.2196
2018/02/08,56.9533
2018/02/09,57.6736
2018/02/10,58.1718
2018/02/13,58.0171
2018/02/14,57.7701
2018/02/15,57.5899
2018/02/16,56.5918
2018/02/17,56.3554
2018/02/20,56.3438
2018/02/21,56.5201
2018/02/22,56.6537
2018/02/23,56.7608
2018/02/27,55.9208
2018/02/28,55.6717
2018/03/01,56.3742
2018/03/02,56.4334
2018/03/03,56.6616
2018/03/07,56.5041
2018/03/08,56.8011
2018/03/13,56.6122
2018/03/14,56.9359
2018/03/15,56.9372
2018/03/16,57.0188
2018/03/17,57.4942
2018/03/20,57.5521
2018/03/21,57.7033
2018/03/22,57.4954
2018/03/23,56.8391
2018/03/24,57.1072
2018/03/27,57.0039
2018/03/28,57.1747
2018/03/29,57.5598
2018/03/30,57.7626
2018/03/31,57.2649
2018/04/03,57.285
2018/04/04,57.5375
2018/04/05,57.7646
2018/04/06,57.5796
2018/04/07,57.8332
2018/04/10,58.5714
2018/04/11,62.3699
2018/04/12,64.0626
2018/04/13,62.0659
2018/04/14,61.4311
2018/04/17,62.2794
2018/04/18,61.1454
2018/04/19,61.5539
2018/04/20,60.8583
2018/04/21,61.3222
2018/04/24,61.7655
2018/04/25,61.6644
2018/04/26,61.7494
2018/04/27,62.6027
2018/04/28,62.726
2018/04/29,61.9997
2018/05/04,63.486
2018/05/05,63.2012
2018/05/08,62.7148
2018/05/09,63.0066
2018/05/11,62.5229
2018/05/12,61.7354
2018/05/15,61.7684
2018/05/16,61.9164
2018/05/17,62.3033
2018/05/18,61.8215
2018/05/19,61.9408
2018/05/22,62.5327
2018/05/23,61.261
2018/05/24,61.5945
2018/05/25,61.409
2018/05/26,61.6659
2018/05/29,62.271
2018/05/30,62.642
2018/05/31,62.5937
2018/06/01,62.0188
2018/06/02,62.2056
2018/06/05,61.929
2018/06/06,61.9822
2018/06/07,62.0064
2018/06/08,61.8125
2018/06/09,62.668
2018/06/10,62.3431
2018/06/14,63.1164
2018/06/15,62.2511
2018/06/16,62.6851
2018/06/19,63.4838
2018/06/20,64.0683
2018/06/21,63.6175
2018/06/22,63.7873
2018/06/23,63.2396
2018/06/26,62.9497
2018/06/27,62.7908
2018/06/28,63.1359
2018/06/29,63.291
2018/06/30,62.7565
2018/07/03,63.1394
2018/07/04,63.2194
2018/07/05,63.2267
2018/07/06,63.2604
2018/07/07,63.1216
2018/07/10,62.8338
2018/07/11,62.4442
2018/07/12,62.098
2018/07/13,62.2062
2018/07/14,62.2934
2018/07/17,62.2556
2018/07/18,62.4352
2018/07/19,62.9006
2018/07/20,63.2746
2018/07/21,63.4888
2018/07/24,63.1957
2018/07/25,62.9235
2018/07/26,63.0836
2018/07/27,62.9471
2018/07/28,62.9726
2018/07/31,62.7805
2018/08/01,62.3497
2018/08/02,62.559
2018/08/03,63.1358
2018/08/04,63.4549
2018/08/07,63.4975
2018/08/08,63.5425
2018/08/09,63.595
2018/08/10,66.2856
2018/08/11,66.9075
2018/08/14,68.2234
2018/08/15,66.7535
2018/08/16,66.3772
2018/08/17,66.8932
2018/08/18,66.8757
2018/08/21,67.1807
2018/08/22,67.1783
2018/08/23,67.6163
2018/08/24,68.5259
2018/08/25,67.7911
2018/08/28,67.3963
2018/08/29,67.3911
2018/08/30,68.1451
2018/08/31,68.0821
2018/09/01,68.0447
2018/09/04,67.7443
2018/09/05,68.2737
2018/09/06,68.4628
2018/09/07,68.2505
2018/09/08,69.0286
2018/09/11,69.8685
2018/09/12,69.9744
2018/09/13,69.5728
2018/09/14,68.637
2018/09/15,68.2826
2018/09/18,68.1958
2018/09/19,67.7519
2018/09/20,67.0098
2018/09/21,66.4725
2018/09/22,66.2497
2018/09/25,66.1594
2018/09/26,65.8244
2018/09/27,65.7585
2018/09/28,65.8355
2018/09/29,65.5906
2018/10/02,65.5745
2018/10/03,65.2221
2018/10/04,65.4244
2018/10/05,66.2115
2018/10/06,66.627
2018/10/09,66.9685
2018/10/10,66.4032
2018/10/11,66.1832
2018/10/12,66.7727
2018/10/13,65.9751
2018/10/16,65.7508
2018/10/17,65.5305
2018/10/18,65.4026
2018/10/19,65.7238
2018/10/20,65.814
2018/10/23,65.3065
2018/10/24,65.3101
2018/10/25,65.6299
2018/10/26,65.7476
2018/10/27,65.6345
2018/10/30,65.8129
2018/10/31,65.7742
2018/11/01,65.5962
2018/11/02,65.6517
2018/11/03,65.5799
2018/11/07,65.9912
2018/11/08,66.0918
2018/11/09,66.2155
2018/11/10,66.8497
2018/11/13,67.5238
2018/11/14,67.6812
2018/11/15,67.9975
2018/11/16,66.6159
2018/11/17,65.9931
2018/11/20,66.0081
2018/11/21,65.5871
2018/11/22,65.9485
2018/11/23,65.6067
2018/11/24,65.6664
2018/11/27,66.5072
2018/11/28,66.78
2018/11/29,66.9436
2018/11/30,66.6342
2018/12/01,66.5335
2018/12/04,66.2921
2018/12/05,66.4467
2018/12/06,66.8242
2018/12/07,66.7377
2018/12/08,66.9227
2018/12/11,66.2416
2018/12/12,66.5022
2018/12/13,66.4225
2018/12/14,66.255
2018/12/15,66.4337
2018/12/18,66.6208
2018/12/19,66.7454
2018/12/20,67.1121
2018/12/21,67.371
2018/12/22,68.0085
2018/12/25,68.4073
2018/12/26,68.7448
2018/12/27,68.8865
2018/12/28,68.8762
2018/12/29,69.5218
2018/12/30,69.4706
2019/01/10,67.0795
2019/01/11,66.8605
2019/01/12,66.9167
2019/01/15,67.192
2019/01/16,67.082
2019/01/17,66.7617
2019/01/18,66.4438
2019/01/19,66.3309
2019/01/22,66.3634
2019/01/23,66.5499
2019/01/24,66.3318
2019/01/25,66.0016
2019/01/26,65.917
2019/01/29,65.93
2019/01/30,66.3412
2019/01/31,66.0987
2019/02/01,65.3577
2019/02/02,65.6601
2019/02/05,65.5859
2019/02/06,65.5691
2019/02/07,65.6686
2019/02/08,66.0199
2019/02/09,66.0628
2019/02/12,65.6517
2019/02/13,65.7147
2019/02/14,65.6783
2019/02/15,66.5429
2019/02/16,66.7044
2019/02/19,66.247
2019/02/20,66.2022
2019/02/21,65.8568
2019/02/22,65.5401
2019/02/23,65.5149
2019/02/26,65.2582
2019/02/27,65.6182
2019/02/28,65.757
2019/03/01,65.8895
